 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> agosto 10, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z03_A08_Mylar.dat.txt

 Ion = Lithium [3] , Mass = 8,02 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  18,00 MeV   1,773E+02  1,102E-01   66,41 um     2,21 um     8577 A   
  20,00 MeV   1,638E+02  1,004E-01   78,14 um     2,77 um     9689 A   
  22,50 MeV   1,495E+02  9,041E-02   94,11 um     3,59 um     1,12 um  
  25,00 MeV   1,377E+02  8,231E-02  111,53 um     4,36 um     1,29 um  
  27,50 MeV   1,278E+02  7,560E-02  130,37 um     5,12 um     1,47 um  
  30,00 MeV   1,194E+02  6,995E-02  150,60 um     5,88 um     1,66 um  
  32,50 MeV   1,121E+02  6,512E-02  172,20 um     6,64 um     1,86 um  
  35,00 MeV   1,058E+02  6,094E-02  195,15 um     7,41 um     2,08 um  
  37,50 MeV   1,001E+02  5,729E-02  219,43 um     8,18 um     2,31 um  
  40,00 MeV   9,514E+01  5,407E-02  245,03 um     8,96 um     2,56 um  
  45,00 MeV   8,664E+01  4,865E-02  300,09 um    11,91 um     3,08 um  
  50,00 MeV   7,965E+01  4,425E-02  360,27 um    14,67 um     3,65 um  
  55,00 MeV   7,379E+01  4,062E-02  425,47 um    17,36 um     4,26 um  
  60,00 MeV   6,880E+01  3,755E-02  495,62 um    20,03 um     4,92 um  
  65,00 MeV   6,451E+01  3,494E-02  570,65 um    22,71 um     5,63 um  
  70,00 MeV   6,076E+01  3,268E-02  650,49 um    25,41 um     6,37 um  
  80,00 MeV   5,453E+01  2,897E-02  824,19 um    35,43 um     7,99 um  
