 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  9.3100E-05 g/cm3 = 1.4006E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.00 keV   2.476E-03  1.379E-02  121.82 um    33.67 um    26.34 um  
   2.25 keV   2.626E-03  1.365E-02  135.26 um    36.88 um    28.81 um  
   2.50 keV   2.768E-03  1.350E-02  148.74 um    40.05 um    31.27 um  
   2.75 keV   2.904E-03  1.333E-02  162.28 um    43.19 um    33.70 um  
   3.00 keV   3.033E-03  1.316E-02  175.89 um    46.30 um    36.11 um  
   3.25 keV   3.156E-03  1.299E-02  189.57 um    49.38 um    38.50 um  
   3.50 keV   3.276E-03  1.282E-02  203.33 um    52.44 um    40.89 um  
   3.75 keV   3.391E-03  1.266E-02  217.16 um    55.48 um    43.27 um  
   4.00 keV   3.502E-03  1.249E-02  231.07 um    58.50 um    45.64 um  
   4.50 keV   3.714E-03  1.216E-02  259.13 um    64.51 um    50.37 um  
   5.00 keV   3.915E-03  1.185E-02  287.48 um    70.45 um    55.08 um  
   5.50 keV   4.106E-03  1.155E-02  316.12 um    76.31 um    59.79 um  
   6.00 keV   4.289E-03  1.127E-02  345.03 um    82.10 um    64.49 um  
   6.50 keV   4.464E-03  1.100E-02  374.19 um    87.82 um    69.18 um  
   7.00 keV   4.632E-03  1.074E-02  403.60 um    93.48 um    73.88 um  
   8.00 keV   4.952E-03  1.027E-02  463.09 um   104.72 um    83.27 um  
   9.00 keV   5.253E-03  9.841E-03  523.36 um   115.70 um    92.65 um  
  10.00 keV   5.537E-03  9.451E-03  584.30 um   126.41 um   102.02 um  
  11.00 keV   5.807E-03  9.096E-03  645.80 um   136.87 um   111.37 um  
  12.00 keV   6.065E-03  8.770E-03  707.79 um   147.09 um   120.69 um  
  13.00 keV   6.313E-03  8.471E-03  770.17 um   157.08 um   129.97 um  
  14.00 keV   6.551E-03  8.195E-03  832.88 um   166.84 um   139.20 um  
  15.00 keV   6.781E-03  7.939E-03  895.86 um   176.37 um   148.38 um  
  16.00 keV   7.004E-03  7.702E-03  959.05 um   185.68 um   157.51 um  
  17.00 keV   7.219E-03  7.481E-03    1.02 mm   194.79 um   166.57 um  
  18.00 keV   7.428E-03  7.274E-03    1.09 mm   203.69 um   175.57 um  
  20.00 keV   7.830E-03  6.898E-03    1.21 mm   221.20 um   193.36 um  
  22.50 keV   8.305E-03  6.488E-03    1.37 mm   242.15 um   215.16 um  
  25.00 keV   8.723E-03  6.131E-03    1.53 mm   261.98 um   236.47 um  
  27.50 keV   9.167E-03  5.818E-03    1.69 mm   280.77 um   257.24 um  
  30.00 keV   9.663E-03  5.539E-03    1.85 mm   298.48 um   277.44 um  
  32.50 keV   1.016E-02  5.290E-03    2.00 mm   315.12 um   297.00 um  
  35.00 keV   1.064E-02  5.066E-03    2.15 mm   330.79 um   315.93 um  
  37.50 keV   1.108E-02  4.863E-03    2.30 mm   345.59 um   334.22 um  
  40.00 keV   1.148E-02  4.678E-03    2.45 mm   359.62 um   351.93 um  
  45.00 keV   1.217E-02  4.352E-03    2.74 mm   386.72 um   385.77 um  
  50.00 keV   1.272E-02  4.075E-03    3.03 mm   411.59 um   417.73 um  
  55.00 keV   1.315E-02  3.836E-03    3.32 mm   434.71 um   448.12 um  
  60.00 keV   1.351E-02  3.626E-03    3.60 mm   456.42 um   477.19 um  
  65.00 keV   1.381E-02  3.441E-03    3.88 mm   476.98 um   505.12 um  
  70.00 keV   1.406E-02  3.277E-03    4.16 mm   496.55 um   532.06 um  
  80.00 keV   1.450E-02  2.996E-03    4.72 mm   535.91 um   583.45 um  
  90.00 keV   1.489E-02  2.765E-03    5.27 mm   572.12 um   631.96 um  
 100.00 keV   1.527E-02  2.571E-03    5.82 mm   605.66 um   677.97 um  
 110.00 keV   1.567E-02  2.405E-03    6.37 mm   636.83 um   721.73 um  
 120.00 keV   1.609E-02  2.261E-03    6.90 mm   665.86 um   763.39 um  
 130.00 keV   1.653E-02  2.136E-03    7.43 mm   692.91 um   803.07 um  
 140.00 keV   1.700E-02  2.025E-03    7.95 mm   718.12 um   840.87 um  
 150.00 keV   1.749E-02  1.927E-03    8.46 mm   741.63 um   876.86 um  
 160.00 keV   1.800E-02  1.838E-03    8.97 mm   763.56 um   911.12 um  
 170.00 keV   1.853E-02  1.758E-03    9.46 mm   784.03 um   943.74 um  
 180.00 keV   1.907E-02  1.686E-03    9.94 mm   803.15 um   974.80 um  
 200.00 keV   2.019E-02  1.559E-03   10.86 mm   842.70 um     1.03 mm  
 225.00 keV   2.160E-02  1.428E-03   11.96 mm   887.90 um     1.10 mm  
 250.00 keV   2.301E-02  1.319E-03   13.01 mm   926.48 um     1.16 mm  
 275.00 keV   2.439E-02  1.226E-03   14.00 mm   959.80 um     1.21 mm  
 300.00 keV   2.574E-02  1.147E-03   14.94 mm   988.91 um     1.25 mm  
 325.00 keV   2.706E-02  1.079E-03   15.84 mm     1.01 mm     1.30 mm  
 350.00 keV   2.836E-02  1.019E-03   16.70 mm     1.04 mm     1.33 mm  
 375.00 keV   2.965E-02  9.656E-04   17.53 mm     1.06 mm     1.37 mm  
 400.00 keV   3.093E-02  9.182E-04   18.32 mm     1.08 mm     1.40 mm  
 450.00 keV   3.350E-02  8.372E-04   19.82 mm     1.12 mm     1.46 mm  
 500.00 keV   3.608E-02  7.704E-04   21.22 mm     1.15 mm     1.51 mm  
 550.00 keV   3.866E-02  7.142E-04   22.53 mm     1.18 mm     1.55 mm  
 600.00 keV   4.123E-02  6.664E-04   23.75 mm     1.21 mm     1.59 mm  
 650.00 keV   4.374E-02  6.250E-04   24.90 mm     1.23 mm     1.62 mm  
 700.00 keV   4.620E-02  5.888E-04   26.00 mm     1.25 mm     1.65 mm  
 800.00 keV   5.089E-02  5.286E-04   28.03 mm     1.29 mm     1.70 mm  
 900.00 keV   5.521E-02  4.804E-04   29.89 mm     1.33 mm     1.74 mm  
   1.00 MeV   5.916E-02  4.408E-04   31.62 mm     1.36 mm     1.77 mm  
   1.10 MeV   6.272E-02  4.077E-04   33.24 mm     1.39 mm     1.80 mm  
   1.20 MeV   6.593E-02  3.796E-04   34.78 mm     1.41 mm     1.83 mm  
   1.30 MeV   6.880E-02  3.553E-04   36.26 mm     1.44 mm     1.85 mm  
   1.40 MeV   7.137E-02  3.342E-04   37.67 mm     1.45 mm     1.87 mm  
   1.50 MeV   7.365E-02  3.156E-04   39.05 mm     1.47 mm     1.89 mm  
   1.60 MeV   7.568E-02  2.991E-04   40.38 mm     1.49 mm     1.90 mm  
   1.70 MeV   7.749E-02  2.844E-04   41.68 mm     1.50 mm     1.92 mm  
   1.80 MeV   7.909E-02  2.711E-04   42.95 mm     1.52 mm     1.93 mm  
   2.00 MeV   8.178E-02  2.482E-04   45.42 mm     1.56 mm     1.96 mm  
   2.25 MeV   8.435E-02  2.248E-04   48.42 mm     1.62 mm     1.99 mm  
   2.50 MeV   8.625E-02  2.057E-04   51.34 mm     1.68 mm     2.01 mm  
   2.75 MeV   8.765E-02  1.898E-04   54.21 mm     1.73 mm     2.04 mm  
   3.00 MeV   8.867E-02  1.763E-04   57.03 mm     1.78 mm     2.06 mm  
   3.25 MeV   8.940E-02  1.647E-04   59.84 mm     1.83 mm     2.08 mm  
   3.50 MeV   8.990E-02  1.546E-04   62.62 mm     1.88 mm     2.09 mm  
   3.75 MeV   9.022E-02  1.458E-04   65.39 mm     1.92 mm     2.11 mm  
   4.00 MeV   9.040E-02  1.380E-04   68.15 mm     1.96 mm     2.13 mm  
